,fuel
0.0,2.01
0.5,58.85999999999999
1.0,137.28000000000006
1.5,182.12999999999997
2.0,225.37
2.5,286.7499999999999
3.0,338.0399999999995
3.5,379.2899999999995
4.0,427.7599999999999
4.5,483.1099999999999
5.0,534.7999999999996
5.5,573.2599999999992
6.0,618.3399999999993
6.5,647.4399999999991
7.0,679.4999999999994
7.5,714.789999999999
8.0,750.3799999999987
8.5,779.7199999999985
9.0,813.1199999999991
9.5,842.2399999999985
10.0,873.2199999999985
10.5,900.1199999999977
11.0,923.9299999999978
11.5,943.879999999998
12.0,966.1799999999981
12.5,989.8599999999974
13.0,1010.7499999999976
13.5,1027.5299999999977
14.0,1039.7099999999966
14.5,1057.4199999999971
15.0,1070.839999999997
15.5,1082.2399999999968
16.0,1091.0199999999973
16.5,1108.1099999999976
17.0,1126.279999999997
17.5,1138.2899999999972
18.0,1148.7499999999968
18.5,1163.6699999999978
19.0,1176.6699999999985
19.5,1186.8399999999988
20.0,1192.629999999999
20.5,1201.3799999999994
21.0,1213.339999999999
21.5,1225.4299999999994
22.0,1230.719999999999
22.5,1239.2099999999991
23.0,1250.9199999999987
23.5,1256.529999999999
24.0,1266.089999999999
24.5,1275.8499999999985
25.0,1282.439999999999
25.5,1292.9599999999994
26.0,1301.0499999999995
26.5,1309.7799999999997
27.0,1315.0599999999997
27.5,1321.1399999999996
28.0,1323.3699999999994
28.5,1326.3099999999997
29.0,1330.9999999999998
29.5,1335.1299999999999
30.0,1339.8799999999999
30.5,1347.6800000000003
31.0,1349.7800000000002
31.5,1354.2400000000007
32.0,1357.9200000000005
32.5,1362.2200000000003
33.0,1368.4700000000003
33.5,1372.5100000000002
34.0,1376.760000000001
34.5,1382.2000000000007
35.0,1387.2700000000004
35.5,1388.5200000000007
36.0,1392.2500000000011
36.5,1394.550000000001
37.0,1399.5000000000014
37.5,1401.6000000000013
38.0,1403.6800000000017
38.5,1404.9300000000014
39.0,1405.4900000000014
39.5,1408.9500000000012
40.0,1409.7300000000012
40.5,1411.110000000001
41.0,1412.810000000001
41.5,1414.1000000000013
42.0,1415.2600000000011
42.5,1417.9200000000008
43.0,1420.1900000000007
43.5,1421.6400000000008
44.0,1423.9800000000007
44.5,1429.0200000000007
45.0,1432.5000000000002
45.5,1434.42
46.0,1436.5800000000002
46.5,1438.6100000000001
47.0,1442.3100000000004
47.5,1444.1300000000006
48.0,1446.1300000000008
48.5,1448.1800000000005
49.0,1449.5800000000008
49.5,1452.170000000001
50.0,1454.0300000000009
50.5,1455.950000000001
51.0,1459.750000000001
51.5,1461.6500000000008
52.0,1465.7000000000012
52.5,1466.400000000001
53.0,1467.230000000001
53.5,1470.380000000001
54.0,1472.3500000000013
54.5,1473.6600000000014
55.0,1478.9700000000012
55.5,1485.1000000000013
56.0,1487.2100000000012
56.5,1490.7400000000011
57.0,1493.540000000001
57.5,1495.210000000001
58.0,1497.3800000000008
58.5,1498.5200000000011
59.0,1501.4300000000012
59.5,1503.880000000001
60.0,1505.470000000001
60.5,1506.6100000000013
61.0,1507.6200000000013
