,fuel
0.0,2.01
0.5,58.85999999999999
1.0,143.85000000000002
1.5,188.47999999999996
2.0,233.99000000000004
2.5,288.54999999999995
3.0,333.64999999999964
3.5,375.4299999999996
4.0,425.66999999999985
4.5,479.78000000000003
5.0,531.6799999999998
5.5,569.6099999999999
6.0,605.5099999999992
6.5,648.0999999999987
7.0,677.1399999999993
7.5,723.9799999999992
8.0,758.899999999999
8.5,802.2299999999985
9.0,835.3399999999984
9.5,866.049999999998
10.0,896.8699999999983
10.5,931.1599999999977
11.0,954.1299999999973
11.5,972.5999999999974
12.0,995.569999999997
12.5,1019.4799999999968
13.0,1037.4499999999962
13.5,1054.8999999999962
14.0,1080.129999999997
14.5,1101.9699999999962
15.0,1118.4799999999964
15.5,1136.5999999999974
16.0,1152.9399999999985
16.5,1174.249999999998
17.0,1186.4199999999976
17.5,1194.739999999998
18.0,1214.2599999999977
18.5,1229.1099999999976
19.0,1238.5899999999986
19.5,1247.7699999999995
20.0,1256.67
20.5,1263.9900000000005
21.0,1270.5300000000007
21.5,1278.4100000000005
22.0,1283.8200000000008
22.5,1294.280000000001
23.0,1300.1700000000012
23.5,1309.360000000001
24.0,1319.9800000000014
24.5,1328.1000000000013
25.0,1335.5900000000015
25.5,1342.490000000002
26.0,1348.0800000000022
26.5,1356.8500000000024
27.0,1361.2900000000025
27.5,1368.9600000000028
28.0,1372.8800000000026
28.5,1377.1800000000026
29.0,1385.5900000000026
29.5,1388.8500000000029
30.0,1393.3100000000031
30.5,1398.800000000003
31.0,1403.8000000000031
31.5,1411.210000000003
32.0,1415.890000000003
32.5,1420.4900000000032
33.0,1425.090000000003
33.5,1429.2400000000027
34.0,1433.760000000003
34.5,1439.6900000000023
35.0,1442.5600000000024
35.5,1443.8800000000022
36.0,1447.0000000000025
36.5,1454.6900000000026
37.0,1456.8400000000024
37.5,1460.2200000000025
38.0,1463.3300000000024
38.5,1465.5800000000024
39.0,1468.1400000000024
39.5,1472.2700000000023
40.0,1475.6400000000021
40.5,1478.8300000000017
41.0,1482.7800000000018
41.5,1484.4800000000018
42.0,1486.1200000000017
42.5,1488.2800000000018
43.0,1489.9700000000018
43.5,1495.8800000000012
44.0,1499.0100000000018
44.5,1503.270000000002
45.0,1506.340000000002
45.5,1508.2100000000019
46.0,1518.1500000000017
46.5,1524.080000000002
47.0,1527.3700000000024
47.5,1531.1600000000021
48.0,1536.7000000000016
48.5,1541.4700000000018
49.0,1542.8300000000015
49.5,1545.5200000000016
50.0,1548.2900000000013
50.5,1555.2200000000012
51.0,1560.1200000000017
51.5,1563.9700000000014
52.0,1564.4500000000016
52.5,1566.6600000000017
53.0,1567.9900000000016
53.5,1569.4700000000012
54.0,1571.380000000001
54.5,1572.830000000001
55.0,1576.920000000001
55.5,1579.5600000000009
56.0,1582.720000000001
56.5,1586.4900000000011
57.0,1589.080000000001
57.5,1590.3500000000013
58.0,1592.1200000000013
58.5,1596.6000000000015
59.0,1599.1700000000012
59.5,1600.2300000000012
60.0,1603.8400000000013
60.5,1608.3900000000012
